City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabedelo,BR,2022-05-19 14:15:33,-6.9811,-34.8339,88.47,68,100,8.57
1,Butaritari,KI,2022-05-19 14:15:33,3.0707,172.7902,81.55,70,6,12.73
2,Bredasdorp,ZA,2022-05-19 14:15:33,-34.5322,20.0403,59.88,48,100,14.0
3,Sur,OM,2022-05-19 14:15:34,22.5667,59.5289,96.91,35,0,3.56
4,Srednekolymsk,RU,2022-05-19 14:15:34,67.45,153.6833,39.85,85,7,7.09
5,Ngorongoro,TZ,2022-05-19 14:15:34,-3.2397,35.4875,65.34,42,100,7.94
6,Rikitea,PF,2022-05-19 14:15:34,-23.1203,-134.9692,76.48,79,100,14.23
7,Vaini,TO,2022-05-19 14:15:34,-21.2,-175.2,73.56,83,40,5.75
8,Khatanga,RU,2022-05-19 14:14:19,71.9667,102.5,29.97,90,100,12.46
9,Ntungamo,UG,2022-05-19 14:15:35,-0.8833,29.65,77.56,65,100,2.13
10,Faanui,PF,2022-05-19 14:15:35,-16.4833,-151.75,79.88,73,20,8.12
11,Qaanaaq,GL,2022-05-19 14:15:35,77.484,-69.3632,27.84,91,100,5.12
12,Atuona,PF,2022-05-19 14:15:35,-9.8,-139.0333,77.29,66,59,11.27
13,Puerto Ayora,EC,2022-05-19 14:15:35,-0.7393,-90.3518,76.96,97,71,1.01
14,Kapaa,US,2022-05-19 14:15:35,22.0752,-159.319,76.98,92,75,16.11
15,Vaitape,PF,2022-05-19 14:15:36,-16.5167,-151.75,79.86,73,19,8.03
16,Pahrump,US,2022-05-19 14:15:36,36.2083,-115.9839,75.25,21,2,2.86
17,Tuktoyaktuk,CA,2022-05-19 14:15:36,69.4541,-133.0374,30.2,100,100,2.3
18,Pauini,BR,2022-05-19 14:15:36,-7.7136,-66.9764,73.15,53,78,4.34
19,Dikson,RU,2022-05-19 14:15:36,73.5069,80.5464,30.56,86,100,13.29
20,Souillac,MU,2022-05-19 14:15:36,-20.5167,57.5167,75.58,73,40,6.91
21,Chokurdakh,RU,2022-05-19 14:15:37,70.6333,147.9167,30.18,95,100,7.27
22,Cape Town,ZA,2022-05-19 14:12:25,-33.9258,18.4232,64.11,62,33,5.01
23,Bluff,NZ,2022-05-19 14:15:37,-46.6,168.3333,42.8,71,100,26.06
24,Busselton,AU,2022-05-19 14:15:37,-33.65,115.3333,60.39,80,18,4.18
25,Coihaique,CL,2022-05-19 14:15:37,-45.5752,-72.0662,31.95,93,100,5.75
26,Hobart,AU,2022-05-19 14:15:37,-42.8794,147.3294,47.26,78,100,8.05
27,Viedma,AR,2022-05-19 14:14:59,-40.8135,-62.9967,48.33,45,95,18.19
28,Pakokku,MM,2022-05-19 14:15:38,21.3333,95.1,95.31,44,46,1.07
29,Waddan,LY,2022-05-19 14:15:38,29.1614,16.139,89.42,14,0,11.97
30,Albany,US,2022-05-19 14:15:38,42.6001,-73.9662,52.95,94,100,7.54
31,Nikolskoye,RU,2022-05-19 14:15:38,59.7035,30.7861,55.29,38,97,9.51
32,Warsaw,PL,2022-05-19 14:14:12,52.2298,21.0118,76.95,23,0,8.05
33,Leningradskiy,RU,2022-05-19 14:15:39,69.3833,178.4167,22.91,92,60,5.17
34,Coquimbo,CL,2022-05-19 14:15:39,-29.9533,-71.3436,56.93,76,100,5.75
35,Talnakh,RU,2022-05-19 14:15:39,69.4865,88.3972,36.21,86,100,4.09
36,Ushuaia,AR,2022-05-19 14:13:16,-54.8,-68.3,46.06,81,0,6.91
37,Hithadhoo,MV,2022-05-19 14:15:39,-0.6,73.0833,83.5,73,27,10.33
38,Saint-Denis,FR,2022-05-19 14:15:39,48.9167,2.3333,80.51,52,0,8.05
39,Caconda,AO,2022-05-19 14:15:40,-13.7333,15.0667,77.34,27,0,7.47
40,Barrow,US,2022-05-19 14:12:17,71.2906,-156.7887,23.02,86,100,12.66
41,Wanning,CN,2022-05-19 14:15:40,18.8003,110.3967,77.09,90,40,4.81
42,Mar Del Plata,AR,2022-05-19 14:15:40,-38.0023,-57.5575,52.95,70,0,12.66
43,Kindu,CD,2022-05-19 14:15:41,-2.95,25.95,88.45,51,88,4.34
44,Kaliua,TZ,2022-05-19 14:15:41,-5.0606,31.7936,81.81,40,71,4.41
45,New Norfolk,AU,2022-05-19 14:15:41,-42.7826,147.0587,46.92,70,9,1.01
46,Lebu,CL,2022-05-19 14:15:41,-37.6167,-73.65,54.79,90,100,18.77
47,Jamestown,US,2022-05-19 14:15:41,42.097,-79.2353,61.02,96,100,13.8
48,Grand Gaube,MU,2022-05-19 14:15:41,-20.0064,57.6608,75.6,71,14,1.99
49,Finschhafen,PG,2022-05-19 14:15:42,-6.6024,147.8681,79.81,82,9,6.91
50,Constitucion,CL,2022-05-19 14:15:42,-35.3333,-72.4167,56.75,80,41,11.7
51,Prince Rupert,CA,2022-05-19 14:15:42,54.3161,-130.3201,46.09,93,100,5.75
52,Bambanglipuro,ID,2022-05-19 14:15:42,-7.95,110.2833,78.69,88,100,5.01
53,Antalaha,MG,2022-05-19 14:15:42,-14.9003,50.2788,77.16,64,100,12.28
54,Bourail,NC,2022-05-19 14:15:42,-21.5667,165.4833,74.08,83,2,2.73
55,Chapais,CA,2022-05-19 14:15:42,49.7834,-74.8492,53.38,79,100,5.91
56,Vallenar,CL,2022-05-19 14:15:42,-28.5708,-70.7581,59.65,58,88,3.6
57,Punta Arenas,CL,2022-05-19 14:15:43,-53.15,-70.9167,41.11,93,75,9.22
58,Bathsheba,BB,2022-05-19 14:15:43,13.2167,-59.5167,84.81,70,20,20.71
59,San Jeronimo,PE,2022-05-19 14:15:43,-11.9472,-75.2829,51.44,74,62,1.83
60,Hovd,MN,2022-05-19 14:15:43,48.0056,91.6419,67.03,24,2,4.63
61,Saint-Philippe,RE,2022-05-19 14:15:44,-21.3585,55.7679,74.79,77,42,11.12
62,Mataura,NZ,2022-05-19 14:15:44,-46.1927,168.8643,42.48,93,84,8.19
63,Staryy Nadym,RU,2022-05-19 14:15:44,65.6118,72.6842,57.6,68,94,8.52
64,Alto Lucero,MX,2022-05-19 14:15:44,19.6167,-96.7167,78.62,53,6,3.89
65,Provideniya,RU,2022-05-19 14:15:44,64.3833,-173.3,36.32,93,100,4.56
66,Olafsvik,IS,2022-05-19 14:15:45,64.8945,-23.7142,45.5,85,36,14.45
67,Bengkulu,ID,2022-05-19 14:15:45,-3.8004,102.2655,78.71,84,69,3.27
68,Zernograd,RU,2022-05-19 14:15:45,46.8452,40.3083,59.83,60,100,14.74
69,San Cristobal,VE,2022-05-19 14:15:45,7.7669,-72.225,78.98,72,100,6.6
70,Hilo,US,2022-05-19 14:15:45,19.7297,-155.09,85.28,90,0,6.91
71,Lompoc,US,2022-05-19 14:15:45,34.6391,-120.4579,60.58,95,75,4.61
72,Hermanus,ZA,2022-05-19 14:15:45,-34.4187,19.2345,60.8,58,98,14.05
73,Codrington,AU,2022-05-19 14:15:46,-38.2667,141.9667,55.74,60,100,8.5
74,Vila Franca Do Campo,PT,2022-05-19 14:15:46,37.7167,-25.4333,63.01,81,48,18.12
75,Leiyang,CN,2022-05-19 14:15:46,26.4024,112.8591,66.79,89,100,6.15
76,Boueni,YT,2022-05-19 14:15:47,-12.9025,45.0761,82.38,70,100,12.28
77,Bambous Virieux,MU,2022-05-19 14:15:47,-20.3428,57.7575,75.45,73,40,6.91
78,Kodiak,US,2022-05-19 14:15:47,57.79,-152.4072,36.91,70,0,6.91
79,Marshall,US,2022-05-19 14:15:48,34.3834,-86.3333,81.39,78,0,9.22
80,Ler,SS,2022-05-19 14:15:48,8.3018,30.1418,99.77,28,95,6.69
81,Kajaani,FI,2022-05-19 14:15:48,64.2273,27.7285,50.05,34,0,4.61
82,Biak,ID,2022-05-19 14:15:48,-0.9131,122.8766,77.67,85,55,3.83
83,Mehamn,NO,2022-05-19 14:15:48,71.0357,27.8492,35.51,67,100,8.66
84,Qandala,SO,2022-05-19 14:15:48,11.472,49.8728,90.93,42,85,7.34
85,Talcahuano,CL,2022-05-19 14:15:49,-36.7167,-73.1167,55.08,88,100,9.22
86,Kahului,US,2022-05-19 14:10:50,20.8947,-156.47,78.82,65,0,19.57
87,Powell River,CA,2022-05-19 14:15:49,49.8496,-124.5361,46.4,93,20,6.91
